WMO;Float S/N;PTT;Float;Last Tx;Last cycle;Battery;Launch Date;Cruise;Last Cycle Pmax;Surface float;Hydraulic;Last Cycle Grounded;Platform Maker;Firmware Version;Pr Version;Project Name;Float Owner;Pi Name;Deploy Platform;PR Experiment ID;N_LEVEL;Alert Status;Alert Error Flags;Alert Info Flags;Alert Warning Flags
1902336;8608;8608;APEX;;82;ok;2020-43-03 10:43:00;;;;-;0;TWR;2.11.3;;;JAMSTEC;JAMSTEC;Mirai;;;0;[];[];[]
2902304;18026;179061;ARVOR;;75;ok;2020-03-03 01:03:00;;;;-;0;NKE;121015;;Argo INDIA;INCOIS;M Ravichandran;s.a. agulhas;Argo INDIA;;0;[];[];[]
5906389;8796;8796;APEX;;192;ok;2021-10-04 12:10:00;;;;-;0;TWR;2.12.2.1;;;JAMSTEC;JAMSTEC;Ryofumaru;;;0;[];[];[]
5905505;P44043-22AU002;csibio002;PROVOR_III;;17;ok;2022-27-20 05:27:26;;;;-;0;NKE;3.03;;Argo Australia;IMOS;Tom Trull;Investigator;Argo Australia;;0;[];[];[]
5905034;7612;2350;APEX;;221;ok;2016-51-17 04:51:00;;;;-;0;WRC;Apf9iSbe41cp7.2.5-PC4-Ice-120815;;Argo Australia;IMOS;Susan Wijffels;Investigator;Argo Australia;;0;[];[];[]
5905214;809;809;NAVIS_EBR;;161;ok;2017-34-17 04:34:00;;;;-;0;SBE;170210;;Argo Australia;IMOS;Peter Oke;PMG Pride;Argo Australia;;0;[];[];[]
3901914;AI2600-16FR077;248888i;ARVOR;;224;ok;2017-57-10 11:57:00;Transkei Shelf Oceanography (ALG241);;;-;0;NKE;5900A01;5.44;MOCCA_EU;Euro-Argo;Romain Cancouet;RS ALGOA;MOCCA_EU;;0;[];[];[]
5905033;7742;2556;APEX;;222;ok;2016-50-01 01:50:00;;;;-;0;WRC;Apf9iSbe41cp7.2.5-PC4-Ice-120815;;Argo Australia;ACE-CRC;Steve Rintoul;Investigator;Argo Australia;;0;[];[];[]
2903669;0957;0957;NAVIS_A;;94;ok;2021-50-21 02:50:00;;;;-;0;SBE;BGCi_pH_ICE 190410;;;JAMSTEC;JAMSTEC;Mirai;;;0;[];[];[]
5904902;7086;9310;APEX;;272;ok;2014-24-04 08:24:00;;;;-;0;WRC;60810;;Argo Australia;CSIRO;Susan Wijffels;HMAS Success;Argo Australia;;0;[];[];[]
2902804;P32800-20CH001;20001;PROVOR;;64;ok;2021-10-20 07:10:00;;;;-;0;NKE;5900A05;;CHINA ARGO EQUIVALENT;CSIO;FENG ZHOU;XIANG YANG HONG 6;CHINA ARGO EQUIVALENT;;0;[];[];[]
6902881;AD2700-17FR001;589986;ARVOR_D;;138;alert;2018-33-08 03:33:00;OVIDE 2018;;;-;2;NKE;5608A11_26042018;5.64;;IFREMER;Virginie THIERRY;THALASSA;GMMC OVIDE;;2;[FLAG_VoltageDrop_LOGICAL];[FLAG_FalseGrounding_LOGICAL];[]
6901168;6610;126878;APEX;;284;ok;2014-55-13 09:55:00;;;;-;0;TWR;121012;;Argo UK;UK Met Office;Jon Turton;RRS JAMES CLARK ROSS;Argo UK;;0;[];[];[]
